timestamp,voltage,current
1667528451.2647712,5010,100
1667528451.4345162,5010,90
1667528451.5569398,5010,90
1667528451.678556,5010,90
1667528451.7998986,5010,100
1667528451.9212935,5010,90
1667528452.0432029,5010,90
1667528452.1642218,5010,90
1667528452.2882612,5010,90
1667528452.4342778,5010,90
1667528452.5807865,5010,90
1667528452.7032754,5010,90
1667528452.8270218,5010,90
1667528452.949979,5010,90
1667528453.0936623,5010,90
1667528453.2359176,5010,90
1667528453.3616564,5010,90
1667528453.4842532,5010,90
1667528453.604691,5010,90
1667528453.7263732,5010,90
1667528453.849271,5010,90
1667528453.9730988,5010,90
1667528454.1174245,5010,90
1667528454.2399335,5010,90
1667528454.3856003,5010,90
1667528454.509084,5010,100
1667528454.632572,5010,90
1667528454.7791028,5010,90
1667528454.9010253,5010,90
1667528455.0456102,5010,90
1667528455.1684804,5010,100
1667528455.2917714,5010,90
1667528455.414318,5010,100
1667528455.5376937,5010,90
1667528455.6828098,5010,90
1667528455.8269289,5010,90
1667528455.9489114,5010,90
1667528456.0712032,5010,90
1667528456.1935368,5010,90
1667528456.3163776,5010,90
1667528456.4390068,5010,90
1667528456.5828354,5010,90
1667528456.7054663,5010,90
1667528456.911649,5030,80
1667528457.0326684,9550,90
1667528457.15401,9520,80
1667528457.2754462,9520,80
1667528457.3984182,9530,80
1667528457.5218363,9550,80
1667528457.6663592,9540,90
1667528457.7888489,9560,80
1667528457.9324472,9540,90
1667528458.116619,9530,90
1667528458.2397704,5010,90
1667528458.3626263,5010,90
1667528458.5107195,5010,90
1667528458.6547616,5010,90
1667528458.777919,5010,90
1667528458.9008982,5010,90
1667528459.025731,5010,90
1667528459.1732004,5010,90
1667528459.296003,5010,90
1667528459.4364107,5010,90
1667528459.5585768,5010,100
1667528459.6808963,5010,100
1667528459.803641,5010,100
1667528459.9264517,5010,90
1667528460.0895867,5010,90
1667528460.216899,5010,90
1667528460.3387375,5010,90
1667528460.4604375,5010,100
1667528639.7701027,20,4190
1667528639.8923836,5190,4180
1667528640.0138419,5010,4180
1667528640.1360846,5010,4190
1667528640.2579398,5010,4180
1667528640.3795414,5010,4180
1667528640.5011802,5010,4190
1667528640.6241443,5010,4190
1667528640.746665,5010,4180
1667528640.9169793,5010,4180
1667528641.0391567,5010,4190
1667528641.161171,5010,4180
1667528641.284288,5010,4190
1667528641.40756,5010,4190
1667528641.5660248,5010,4180
1667528641.6992106,5010,4180
1667528641.820573,5010,4180
1667528641.9430192,5010,4190
1667528642.0653777,5010,4180
1667528642.188901,5010,4180
1667528642.3609192,5010,4180
1667528642.4825637,5010,4190
1667528642.6039145,5010,4180
1667528642.7254078,5010,4180
1667528642.8474584,5010,4180
1667528642.9711244,5010,4190
1667528643.1162868,5010,4180
1667528643.238919,5010,4180
1667528643.3830528,5010,4180
1667528643.5056849,5010,4180
1667528643.6290724,5010,4190
1667528643.7520874,5010,4180
1667528643.900315,5010,4180
1667528644.022388,5010,4180
1667528644.1673892,5010,4180
1667528644.2887483,5010,4180
1667528644.41266,5010,4190
1667528644.5357711,5010,4180
1667528644.6810813,5010,4180
1667528644.8290625,5010,4190
1667528644.9502392,5010,4180
1667528645.074131,5010,4180
1667528645.1967556,5010,4180
1667528645.318717,5010,4190
1667528645.4658089,5020,4180
1667528645.6131334,5010,4190
1667528645.7352476,5010,4180
1667528645.8585577,5010,4180
1667528646.0040717,5010,4180
1667528646.1267972,5010,4180
1667528646.2715352,5010,4180
1667528646.3930783,5010,4180
1667528646.5150735,5010,4180
1667528646.6360621,5010,4180
1667528646.7591014,5010,4180
1667528646.8820462,5010,4180
1667528647.0524204,5010,4190
1667528647.1749609,5010,4180
1667528647.2981737,5010,4180
1667528647.422218,5010,4180
1667528647.5694673,5010,4190
1667528647.7152948,5010,4180
1667528647.8382964,5010,4180
1667528647.9612792,5010,4180
1667528648.0862803,5010,4190
1667528648.2310808,5010,4180
1667528648.3541691,5010,4180
1667528648.4982915,5010,4180
1667528648.621282,5010,4190
1667528648.7444973,5010,4190
1667528648.8918116,5010,4180
1667528649.0141504,5010,4180
1667528649.1588335,5010,4180
1667528649.281531,5010,4180
1667528649.403049,5010,4180
1667528649.5244126,5010,4180
1667528649.6471744,5010,4180
1667528649.8708155,5010,190
1667528650.001181,30960,20
1667528650.1230972,30950,20
1667528650.2454038,30950,20
1667528650.3682814,30950,30
1667528650.492461,30950,20
1667528650.6623034,30950,20
1667528650.7839606,30950,30
1667528650.9682596,30950,30
1667528651.0913413,5020,4180
1667528651.2145882,5010,4180
1667528651.3860657,5010,4180
1667528651.5069473,5010,4180
1667528651.629556,5010,4190
1667528651.7522876,5010,4180
1667528651.8991418,5010,4180
1667528652.0465107,5010,4180
1667528652.168529,5010,4190
1667528652.2911472,5010,4180
1667528652.4151108,5010,4180
1667528652.5371027,5010,4190
1667528652.6832223,5010,4180
1667528652.8282762,5010,4190
1667528652.9504333,5010,4180
1667528653.0734086,5010,4180
1667528653.1965938,5010,4190
1667528653.3409653,5010,4190
1667528653.490319,5010,4190
1667528653.6123672,5010,4180
1667528653.7343972,5010,4180
1667528653.8578176,5010,4180
1667528653.980688,5010,4190
1667528654.1256926,5020,4180
1667528654.2730882,5010,4190
1667528654.394486,5010,4180
1667528654.5162783,5010,4180
1667528654.6394615,5010,4180
1667528654.7621286,5010,4180
1667528654.9244092,5010,4180
1667528655.0539503,5010,4180
1667528655.1751895,5010,4190
1667528655.2960715,5010,4190
1667528655.416836,5010,4180
1667528655.547769,5010,4180
1667528655.7180326,5010,4180
1667528655.8425553,5010,4180
1667528656.0087807,5010,4190
1667528656.1385438,5010,4180
1667528656.2604566,5010,4180
1667528656.3835797,5010,4180
1667528656.506744,5010,4180
1667528656.6527505,5010,4190
1667528656.7991836,5010,4190
1667528656.9210632,5010,4180
1667528657.0436323,5010,4180
1667528657.1669362,5010,4180
1667528657.3136077,5010,4180
1667528657.460223,5010,4180
1667528657.5820644,5010,4180
1667528657.705603,5010,4180
1667528657.8285878,5010,4180
1667528657.9509153,5010,4180
1667528658.0964973,5010,4180
1667528658.2430527,5010,4180
1667528658.3646524,5010,4180
1667528658.4872904,5010,4180
1667528658.61139,5010,4180
1667528658.7564907,5010,4190
1667528658.9026303,5010,4190
1667528659.0247827,5010,4190
1667528659.1470556,5010,4190
1667528659.269301,5010,4190
1667528659.3932486,5010,4190
1667528659.5393054,5010,4180
1667528659.6871037,5020,4180
1667528659.8113112,5010,4180
1667528659.9340858,5010,4180
1667528660.4388783,5010,4190
1667528660.5610762,5000,4180
1667528660.7058926,5000,4190
1667528660.829057,5000,4180
1667528660.9500933,5000,4180
1667528661.135058,5000,4190
1667528661.2575815,30940,30
1667528661.4300046,30940,30
1667528661.5519743,30940,20
1667528661.6751716,30940,20
1667528661.7982335,30940,20
1667528661.9431143,30930,30
1667528662.0900393,30940,20
1667528662.2753558,30930,4190
1667528662.3991263,5000,4180
1667528662.5440822,5000,4180
1667528662.6671274,5000,4180
1667528662.8115027,5000,4180
1667528662.9332974,5000,4180
1667528663.0551841,5000,4180
1667528663.177129,5000,4180
1667528663.2991734,5000,4190
1667528663.4222612,5000,4190
1667528663.5941348,5000,4190
1667528663.716716,5000,4180
1667528663.8380473,5010,4190
1667528663.9609687,5000,4180
1667528664.1075726,5000,4180
1667528664.2540188,5000,4180
1667528664.3849487,5000,4190
1667528664.5332577,5000,4180
1667528664.6794593,5000,4190
1667528664.80488,5000,4180
1667528664.9652119,5000,4180
1667528665.1015723,5000,4190
1667528665.2282495,5000,4180
1667528665.3976912,5000,4180
1667528665.5210595,5000,4180
1667528665.647052,5000,4190
1667528665.793682,5000,4190
